Date : 2023-09-17 17:07:41
Directory : c:\Users\dawn\Desktop\test\VueSocial
Total : 75 files,  19325 codes, 116 comments, 401 blanks, all 19842 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\package.json                                 | JSON       |         77 |          0 |          1 |         78 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\app.vue                                  | vue        |        134 |          0 |          6 |        140 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\common\css\reset.css                     | CSS        |         46 |         20 |         14 |         80 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\common\js\dom.js                         | JavaScript |         10 |          0 |          1 |         11 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\common\js\localStorage.js                | JavaScript |         35 |          0 |          3 |         38 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\components\FooterGuide\FooterGuide.vue   | vue        |        100 |          0 |          5 |        105 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\components\chat\chat.vue                 | vue        |        271 |          0 |          4 |        275 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\components\comlist\comlist.vue           | vue        |        142 |          0 |          5 |        147 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\components\comment\comment.vue           | vue        |         81 |          0 |          5 |         86 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\components\img-display\img-display.vue   | vue        |        131 |          0 |         10 |        141 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\components\loading\loading.vue           | vue        |         26 |          0 |          1 |         27 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\components\myheader\my-header.vue        | vue        |         57 |          1 |          4 |         62 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\components\personalIndex\pindex.vue      | vue        |        330 |          0 |          5 |        335 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\components\scroll\scroll.vue             | vue        |        137 |          0 |          6 |        143 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\components\show-img\show-img.vue         | vue        |        206 |          0 |         21 |        227 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\components\slider\slider.vue             | vue        |        158 |          0 |         13 |        171 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\components\unlogin\unlogin.vue           | vue        |         27 |          0 |          3 |         30 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\components\updataavater\updataavater.vue | vue        |        131 |          0 |          4 |        135 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\components\updataname\updataname.vue     | vue        |         65 |          0 |          4 |         69 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\components\updatasign\updatasign.vue     | vue        |         65 |          0 |          4 |         69 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\main.js                                  | JavaScript |         73 |          7 |         12 |         92 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\pages\Home\Home.vue                      | vue        |        412 |          0 |          5 |        417 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\pages\Login\Login.vue                    | vue        |        101 |          0 |          4 |        105 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\pages\News\News.vue                      | vue        |        194 |          0 |          6 |        200 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\pages\Profile\Profile.vue                | vue        |        104 |          0 |          5 |        109 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\pages\Register\Register.vue              | vue        |         93 |          0 |          5 |         98 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\pages\Search\Search.vue                  | vue        |        101 |          0 |          4 |        105 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\pages\Search\SearchBar.vue               | vue        |        401 |          0 |          5 |        406 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\pages\upload\upload.vue                  | vue        |        193 |          1 |          5 |        199 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\router\index.js                          | JavaScript |        108 |          0 |          8 |        116 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\store\actions.js                         | JavaScript |          1 |          0 |          2 |          3 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\store\index.js                           | JavaScript |          9 |          0 |          3 |         12 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\store\mutation-types.js                  | JavaScript |         11 |          0 |         12 |         23 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\store\mutations.js                       | JavaScript |         86 |          5 |          3 |         94 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\store\state.js                           | JavaScript |         10 |          0 |          2 |         12 |
| c:\Users\dawn\Desktop\test\VueSocial\README.md                                              | Markdown   |        502 |          1 |         54 |        557 |
| c:\Users\dawn\Desktop\test\VueSocial\server\app.js                                          | JavaScript |         82 |          3 |         10 |         95 |
| c:\Users\dawn\Desktop\test\VueSocial\server\models\ChatContent.js                           | JavaScript |          3 |          0 |          1 |          4 |
| c:\Users\dawn\Desktop\test\VueSocial\server\models\ChatRelation.js                          | JavaScript |          3 |          0 |          1 |          4 |
| c:\Users\dawn\Desktop\test\VueSocial\server\models\Comment.js                               | JavaScript |          3 |          0 |          2 |          5 |
| c:\Users\dawn\Desktop\test\VueSocial\server\models\Idtoid.js                                | JavaScript |          3 |          0 |          1 |          4 |
| c:\Users\dawn\Desktop\test\VueSocial\server\models\Password.js                              | JavaScript |          3 |          0 |          2 |          5 |
| c:\Users\dawn\Desktop\test\VueSocial\server\models\Pyq.js                                   | JavaScript |          3 |          0 |          2 |          5 |
| c:\Users\dawn\Desktop\test\VueSocial\server\models\User.js                                  | JavaScript |          3 |          0 |          2 |          5 |
| c:\Users\dawn\Desktop\test\VueSocial\server\package-lock.json                               | JSON       |      1,903 |          0 |          1 |      1,904 |
| c:\Users\dawn\Desktop\test\VueSocial\server\package.json                                    | JSON       |         22 |          0 |          1 |         23 |
| c:\Users\dawn\Desktop\test\VueSocial\server\routers\chat.js                                 | JavaScript |        187 |          0 |          4 |        191 |
| c:\Users\dawn\Desktop\test\VueSocial\server\routers\comment.js                              | JavaScript |        131 |          0 |          2 |        133 |
| c:\Users\dawn\Desktop\test\VueSocial\server\routers\main.js                                 | JavaScript |        107 |          4 |          4 |        115 |
| c:\Users\dawn\Desktop\test\VueSocial\server\routers\profile.js                              | JavaScript |        109 |          0 |          2 |        111 |
| c:\Users\dawn\Desktop\test\VueSocial\server\routers\pyq.js                                  | JavaScript |         63 |          0 |          3 |         66 |
| c:\Users\dawn\Desktop\test\VueSocial\server\routers\search.js                               | JavaScript |         28 |          0 |          2 |         30 |
| c:\Users\dawn\Desktop\test\VueSocial\server\routers\upload.js                               | JavaScript |        113 |          4 |          4 |        121 |
| c:\Users\dawn\Desktop\test\VueSocial\server\schemas\chatcontent.js                          | JavaScript |         23 |          0 |          2 |         25 |
| c:\Users\dawn\Desktop\test\VueSocial\server\schemas\chatrelation.js                         | JavaScript |         16 |          0 |          3 |         19 |
| c:\Users\dawn\Desktop\test\VueSocial\server\schemas\comments.js                             | JavaScript |         36 |          0 |          1 |         37 |
| c:\Users\dawn\Desktop\test\VueSocial\server\schemas\idtoid.js                               | JavaScript |          6 |          0 |          2 |          8 |
| c:\Users\dawn\Desktop\test\VueSocial\server\schemas\password.js                             | JavaScript |          6 |          0 |          2 |          8 |
| c:\Users\dawn\Desktop\test\VueSocial\server\schemas\pyq.js                                  | JavaScript |         25 |          0 |          4 |         29 |
| c:\Users\dawn\Desktop\test\VueSocial\server\schemas\users.js                                | JavaScript |         17 |          0 |          2 |         19 |
| c:\Users\dawn\Desktop\test\VueSocial\server\socket\index.js                                 | JavaScript |         23 |          1 |          1 |         25 |
| Total                                                                                       |            |     19,325 |        116 |        401 |     19,842 |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
